1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
7 8 3 14 12 13 1 6 4 11 2 5 9 10 15
7 8 9 6 2 11 1 14 3 5 15 12 10 4 13
7 9 12 6 15 8 4 14 1 2 11 13 10 5 3
7 9 14 15 3 13 11 10 2 4 5 1 12 8 6
7 10 12 14 4 2 1 8 6 9 5 3 15 13 11
7 13 12 10 11 5 9 2 8 15 6 1 4 14 3
8 5 11 10 15 3 6 1 4 13 9 12 14 7 2
8 11 7 4 15 5 1 2 6 3 14 9 13 10 12
8 15 7 14 11 6 1 12 5 3 9 10 2 13 4
8 15 13 10 6 2 5 9 7 4 12 3 11 14 1
9 5 14 3 6 4 2 7 1 13 8 12 11 15 10
9 10 7 15 1 14 13 5 4 11 6 2 3 8 12
9 10 13 15 12 8 6 7 3 5 11 1 14 2 4
9 11 12 2 8 13 1 5 15 4 3 7 14 6 10
10 14 11 12 9 7 3 15 4 2 6 13 1 5 8
11 10 9 8 12 5 2 14 13 7 6 15 3 4 1
11 10 13 6 12 4 3 15 14 8 1 5 9 2 7
11 14 12 9 4 5 1 6 2 15 7 10 8 13 3
12 15 11 3 13 14 7 4 9 5 10 6 8 2 1
13 12 15 4 11 1 9 7 8 10 3 2 5 14 6
13 14 10 4 15 3 1 7 9 2 6 8 11 12 5
13 14 10 8 15 9 7 5 1 3 12 11 4 6 2
14 9 13 12 3 6 1 10 4 8 2 15 5 11 7
14 11 13 6 15 10 5 12 1 7 2 9 3 8 4
14 15 12 5 4 2 11 8 3 10 1 7 6 13 9
